English,Vietnamese
lawn mowers,máy cắt cỏ
sweeping a walkway,quét dọn lối đi
tank,bình xăng
cart,xe đẩy
projector,máy chiếu
receipt,biên lai
expire,hết hạn
solar powered lights,thiết bị năng lượng mặt trời
envelope,phong bì
inspect,kiểm tra ( xem xét)
rental contact,hợp đồng cho thuê
pale,xanh xao (nhạt)
supplies,nguồn cung cấp
vendor,nhà cung cấp
mayor,thị trưởng
elect,bầu chọn (lựa chọn)
mechanical engineer,kĩ sư cơ khí
deposit,gửi tiền
paycheck,tiền lương
prescription,đơn thuốc
prototype,bản nguyên mẫu
appliance distributoes,nhà phân phối thiết bị
badge,"phù hiệu, thẻ"
caterer,người cung cấp thực phẩm
inspect,"kiểm tra, đánh giá"
laboratory,phòng thí nghiệm
refreshments,thức uống giải khát
mock-up,mô phỏng
flyer,tờ rơi
reassure,trấn an
defective,"lỗi, khiếm khuyết"
budget,ngân sách
a job fair,hội chợ việc làm
itinerary,"hành trình, lịch trình"
microscope lenses,kính hiển vi
circular motion,chuyển động tròn
spread,"phát tán, lây lan"
manual indicates,hướng dẫn sử dụng
tire,lốp xe
hardware store,cửa hàng dụng cụ
driving school,trường học lái xe
automotice supply company,công ty cung cấp ô tô
marketing campaign,chiến dịch tiếp thị
bulk purchases,mua số lượng lớn
consultant,nhà tư vấn
annual holiday parade,cuộc diễu hành ngày lễ hàng năm
overtime pay,lương tăng ca
amusement park,công viên giải trí
public transportation,giao thông công cộng
identification,giấy tờ tùy thân
promoting,"quảng bá, quảng cáo"
photography contest,cuộc thi nhiếp ảnh
submission deadline,thời hạn nộp bài
outline,phác thảo
prize,giải thưởng
seminar,hội thảo
brief announcement,thông báo ngắn gọn
new convayor belt,dây chuyền sản xuất mới
supervisor,người giám sát
orientation,định hướng
career fair/employment fair,hội chợ nghề nghiệp
imply,ngụ ý
take over,"đảm nhận, tiếp quản"
reserve a booth,đặt chỗ trước một gian hàng
devote,"cống hiến, dâng cho, dành cho"
present (V),"giới thiệu, trình bày"
exclusive,"độc quyền, duy nhất"
padded carrying case,cặp chống sốc laptop
issue,tạp chí
journalist,nhà báo
time-consuming,tốn thời gian
publicize,công khai
board meeting,cuộc họp hội đồng quản trị
a grand opening,một buổi khai trương
dialing,"quay số, gọi ( điện thoại)"
brochure,tập tài liệu
investigate,"tìm hiểu, nghiên cứu"
little-known,ít được biết đến
huge impact,ảnh hưởng lớn
historical monuments,di tích lịch sử
composer,nhà soạn nhạc
politician,chính trị gia
prevent,ngăn chặn
proposal,đề xuất
attendance sheet,bảng điểm danh
coordinating,điều phối
herb,thảo mộc
plot,mảnh đất
toolshed,nhà kho dụng cụ
perimeter,"chu vi, xung quanh"