,day,price,link
0,Dec 19,₫470,https://vietnam.craigslist.org/apa/d/nice-apartment-for-lease-in-dpn/7569789857.html?lang=en&cc=us
1,Dec 19,₫470,https://vietnam.craigslist.org/apa/d/phuc-thinh-building-apartment-for-rent/7569789805.html?lang=en&cc=us
2,Dec 19,₫700,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-imperia-tower-2br/7569789789.html?lang=en&cc=us
3,Dec 19,₫600,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-dpn-tower-3br/7569787474.html?lang=en&cc=us
4,Dec 19,₫750,https://vietnam.craigslist.org/apa/d/luxury-apartment-for-rent-on-saigon/7569787436.html?lang=en&cc=us
5,Dec 19,₫600,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-saigon-land/7569786611.html?lang=en&cc=us
6,Dec 19,₫550,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-orient-building/7569786542.html?lang=en&cc=us
7,Dec 19,₫500,https://vietnam.craigslist.org/apa/d/copac-square-building-nice-apartment/7569785509.html?lang=en&cc=us
8,Dec 19,₫550,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-bmc-tower-2br/7569779683.html?lang=en&cc=us
9,Dec 19,₫550,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-central-garden/7569777339.html?lang=en&cc=us
10,Dec 19,₫700,https://vietnam.craigslist.org/apa/d/nice-apartment-for-rent-on-bmc-building/7569777280.html?lang=en&cc=us
11,Dec 17,₫470,https://vietnam.craigslist.org/apa/d/phuc-thinh-building-apartment-for-rent/7569186487.html?lang=en&cc=us
12,Dec 17,₫600,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-dpn-tower-3br/7569186369.html?lang=en&cc=us
13,Dec 17,₫470,https://vietnam.craigslist.org/apa/d/nice-apartment-for-lease-in-dpn/7569184213.html?lang=en&cc=us
14,Dec 17,₫700,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-imperia-tower-2br/7569183159.html?lang=en&cc=us
15,Dec 17,₫700,https://vietnam.craigslist.org/apa/d/nice-apartment-for-rent-on-bmc-building/7569180804.html?lang=en&cc=us
16,Dec 17,₫550,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-central-garden/7569178117.html?lang=en&cc=us
17,Dec 17,₫550,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-bmc-tower-2br/7569178149.html?lang=en&cc=us
18,Dec 17,₫750,https://vietnam.craigslist.org/apa/d/luxury-apartment-for-rent-on-saigon/7569177170.html?lang=en&cc=us
19,Dec 17,₫550,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-orient-building/7569177059.html?lang=en&cc=us
20,Dec 17,₫500,https://vietnam.craigslist.org/apa/d/copac-square-building-nice-apartment/7569172266.html?lang=en&cc=us
21,Dec 17,₫600,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-saigon-land/7569168795.html?lang=en&cc=us
22,Dec 15,₫470,https://vietnam.craigslist.org/apa/d/phuc-thinh-building-apartment-for-rent/7568471632.html?lang=en&cc=us
23,Dec 15,₫550,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-central-garden/7568470900.html?lang=en&cc=us
24,Dec 15,₫600,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-saigon-land/7568469340.html?lang=en&cc=us
25,Dec 15,₫500,https://vietnam.craigslist.org/apa/d/copac-square-building-nice-apartment/7568467439.html?lang=en&cc=us
26,Dec 15,₫700,https://vietnam.craigslist.org/apa/d/nice-apartment-for-rent-on-bmc-building/7568462846.html?lang=en&cc=us
27,Dec 15,₫550,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-bmc-tower-2br/7568462828.html?lang=en&cc=us
28,Dec 14,none,https://vietnam.craigslist.org/sha/d/story-home-for-lease-in-central-thao/7568123098.html?lang=en&cc=us
29,Dec 14,₫470,https://vietnam.craigslist.org/apa/d/phuc-thinh-building-apartment-for-rent/7568112525.html?lang=en&cc=us
30,Dec 14,₫470,https://vietnam.craigslist.org/apa/d/nice-apartment-for-lease-in-dpn/7568111942.html?lang=en&cc=us
31,Dec 14,₫600,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-dpn-tower-3br/7568111359.html?lang=en&cc=us
32,Dec 14,₫550,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-central-garden/7568107834.html?lang=en&cc=us
33,Dec 14,₫750,https://vietnam.craigslist.org/apa/d/luxury-apartment-for-rent-on-saigon/7568106150.html?lang=en&cc=us
34,Dec 14,₫550,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-orient-building/7568106134.html?lang=en&cc=us
35,Dec 14,₫600,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-saigon-land/7568105509.html?lang=en&cc=us
36,Dec 14,₫500,https://vietnam.craigslist.org/apa/d/copac-square-building-nice-apartment/7568104651.html?lang=en&cc=us
37,Dec 14,₫550,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-bmc-tower-2br/7568101467.html?lang=en&cc=us
38,Dec 14,₫700,https://vietnam.craigslist.org/apa/d/nice-apartment-for-rent-on-bmc-building/7568101445.html?lang=en&cc=us
39,Dec 12,₫700,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-imperia-tower-2br/7567329070.html?lang=en&cc=us
40,Dec 12,₫470,https://vietnam.craigslist.org/apa/d/nice-apartment-for-lease-in-dpn/7567328100.html?lang=en&cc=us
41,Dec 12,₫470,https://vietnam.craigslist.org/apa/d/phuc-thinh-building-apartment-for-rent/7567327428.html?lang=en&cc=us
42,Dec 12,₫470,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-orient-building/7567325058.html?lang=en&cc=us
43,Dec 12,₫600,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-dpn-tower-3br/7567325031.html?lang=en&cc=us
44,Dec 12,₫750,https://vietnam.craigslist.org/apa/d/luxury-apartment-for-rent-on-saigon/7567324272.html?lang=en&cc=us
45,Dec 12,₫550,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-central-garden/7567322124.html?lang=en&cc=us
46,Dec 12,₫600,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-saigon-land/7567319079.html?lang=en&cc=us
47,Dec 12,₫500,https://vietnam.craigslist.org/apa/d/copac-square-building-nice-apartment/7567317345.html?lang=en&cc=us
48,Dec 12,₫550,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-bmc-tower-2br/7567313365.html?lang=en&cc=us
49,Dec 12,₫700,https://vietnam.craigslist.org/apa/d/nice-apartment-for-rent-on-bmc-building/7567312261.html?lang=en&cc=us
50,Dec  9,₫600,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-dpn-tower-3br/7566283899.html?lang=en&cc=us
51,Dec  9,₫470,https://vietnam.craigslist.org/apa/d/nice-apartment-for-lease-in-dpn/7566283173.html?lang=en&cc=us
52,Dec  9,₫700,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-imperia-tower-2br/7566283146.html?lang=en&cc=us
53,Dec  9,₫750,https://vietnam.craigslist.org/apa/d/luxury-apartment-for-rent-on-saigon/7566283123.html?lang=en&cc=us
54,Dec  9,₫470,https://vietnam.craigslist.org/apa/d/phuc-thinh-building-apartment-for-rent/7566283060.html?lang=en&cc=us
55,Dec  9,₫550,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-central-garden/7566280026.html?lang=en&cc=us
56,Dec  9,₫600,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-saigon-land/7566278053.html?lang=en&cc=us
57,Dec  9,₫550,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-orient-building/7566277206.html?lang=en&cc=us
58,Dec  9,₫500,https://vietnam.craigslist.org/apa/d/copac-square-building-nice-apartment/7566274602.html?lang=en&cc=us
59,Dec  9,₫550,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-bmc-tower-2br/7566268695.html?lang=en&cc=us
60,Dec  9,₫700,https://vietnam.craigslist.org/apa/d/nice-apartment-for-rent-on-bmc-building/7566268633.html?lang=en&cc=us
61,Dec  7,₫600,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-dpn-tower-3br/7565507656.html?lang=en&cc=us
62,Dec  7,₫470,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-orient-building/7565507570.html?lang=en&cc=us
63,Dec  7,₫470,https://vietnam.craigslist.org/apa/d/nice-apartment-for-lease-in-dpn/7565507537.html?lang=en&cc=us
64,Dec  7,₫750,https://vietnam.craigslist.org/apa/d/luxury-apartment-for-rent-on-saigon/7565504790.html?lang=en&cc=us
65,Dec  7,₫700,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-imperia-tower-2br/7565504693.html?lang=en&cc=us
66,Dec  7,₫600,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-saigon-land/7565501543.html?lang=en&cc=us
67,Dec  7,₫550,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-orient-building/7565501395.html?lang=en&cc=us
68,Dec  7,₫500,https://vietnam.craigslist.org/apa/d/copac-square-building-nice-apartment/7565500410.html?lang=en&cc=us
69,Dec  7,₫550,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-bmc-tower-2br/7565489165.html?lang=en&cc=us
70,Dec  7,₫550,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-central-garden/7565489138.html?lang=en&cc=us
71,Dec  7,₫700,https://vietnam.craigslist.org/apa/d/nice-apartment-for-rent-on-bmc-building/7565489110.html?lang=en&cc=us
72,Dec  6,₫650,https://vietnam.craigslist.org/apa/d/bed-baths-in-the-center-of-district/7565150868.html?lang=en&cc=us
73,Dec  5,₫470,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-orient-building/7564718766.html?lang=en&cc=us
74,Dec  5,₫750,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-sai-gon-pearl/7564718648.html?lang=en&cc=us
75,Dec  5,₫470,https://vietnam.craigslist.org/apa/d/nice-apartment-for-lease-in-dpn/7564716389.html?lang=en&cc=us
76,Dec  5,₫600,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-dpn-tower-3br/7564716360.html?lang=en&cc=us
77,Dec  5,₫550,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-central-garden/7564712582.html?lang=en&cc=us
78,Dec  5,₫470,https://vietnam.craigslist.org/apa/d/phuc-thinh-building-apartment-for-rent/7564712485.html?lang=en&cc=us
79,Dec  5,₫600,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-saigon-land/7564703737.html?lang=en&cc=us
80,Dec  5,₫500,https://vietnam.craigslist.org/apa/d/copac-square-building-nice-apartment/7564700785.html?lang=en&cc=us
81,Dec  5,₫700,https://vietnam.craigslist.org/apa/d/nice-apartment-for-rent-on-bmc-building/7564698297.html?lang=en&cc=us
82,Dec  5,₫550,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-bmc-tower-2br/7564696825.html?lang=en&cc=us
83,Dec  2,₫700,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-imperia-tower-2br/7563685083.html?lang=en&cc=us
84,Dec  2,₫470,https://vietnam.craigslist.org/apa/d/nice-apartment-for-lease-in-dpn/7563683313.html?lang=en&cc=us
85,Dec  2,₫600,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-dpn-tower-3br/7563681142.html?lang=en&cc=us
86,Dec  2,₫470,https://vietnam.craigslist.org/apa/d/phuc-thinh-building-apartment-for-rent/7563681108.html?lang=en&cc=us
87,Dec  2,₫550,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-central-garden/7563680304.html?lang=en&cc=us
88,Dec  2,₫750,https://vietnam.craigslist.org/apa/d/luxury-apartment-for-rent-on-saigon/7563679114.html?lang=en&cc=us
89,Dec  2,₫550,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-orient-building/7563674816.html?lang=en&cc=us
90,Dec  2,₫600,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-saigon-land/7563673741.html?lang=en&cc=us
91,Dec  2,₫500,https://vietnam.craigslist.org/apa/d/copac-square-building-nice-apartment/7563672902.html?lang=en&cc=us
92,Dec  2,₫550,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-bmc-tower-2br/7563667917.html?lang=en&cc=us
93,Dec  2,₫700,https://vietnam.craigslist.org/apa/d/nice-apartment-for-rent-on-bmc-building/7563666952.html?lang=en&cc=us
94,Nov 30,₫700,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-imperia-tower-2br/7562914799.html?lang=en&cc=us
95,Nov 30,₫750,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-sai-gon-pearl/7562912988.html?lang=en&cc=us
96,Nov 30,₫600,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-dpn-tower-3br/7562912912.html?lang=en&cc=us
97,Nov 30,₫470,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-orient-building/7562913733.html?lang=en&cc=us
98,Nov 30,₫470,https://vietnam.craigslist.org/apa/d/nice-apartment-for-lease-in-dpn/7562913706.html?lang=en&cc=us
99,Nov 30,₫470,https://vietnam.craigslist.org/apa/d/phuc-thinh-building-apartment-for-rent/7562910454.html?lang=en&cc=us
100,Nov 30,₫550,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-central-garden/7562905411.html?lang=en&cc=us
101,Nov 30,₫600,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-saigon-land/7562902487.html?lang=en&cc=us
102,Nov 30,₫500,https://vietnam.craigslist.org/apa/d/copac-square-building-nice-apartment/7562899698.html?lang=en&cc=us
103,Nov 30,₫550,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-bmc-tower-2br/7562896173.html?lang=en&cc=us
104,Nov 30,₫700,https://vietnam.craigslist.org/apa/d/nice-apartment-for-rent-on-bmc-building/7562895984.html?lang=en&cc=us
105,Nov 28,₫750,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-sai-gon-pearl/7562130258.html?lang=en&cc=us
106,Nov 28,₫470,https://vietnam.craigslist.org/apa/d/phuc-thinh-building-apartment-for-rent/7562130238.html?lang=en&cc=us
107,Nov 28,₫700,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-imperia-tower-2br/7562128628.html?lang=en&cc=us
108,Nov 28,₫470,https://vietnam.craigslist.org/apa/d/nice-apartment-for-lease-in-dpn/7562128562.html?lang=en&cc=us
109,Nov 28,₫550,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-central-garden/7562122829.html?lang=en&cc=us
110,Nov 28,₫750,https://vietnam.craigslist.org/apa/d/luxury-apartment-for-rent-on-saigon/7562122813.html?lang=en&cc=us
111,Nov 28,₫700,https://vietnam.craigslist.org/apa/d/nice-apartment-for-rent-on-bmc-building/7562122783.html?lang=en&cc=us
112,Nov 28,₫550,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-bmc-tower-2br/7562122750.html?lang=en&cc=us
113,Nov 28,₫600,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-dpn-tower-3br/7562122129.html?lang=en&cc=us
114,Nov 28,₫500,https://vietnam.craigslist.org/apa/d/copac-square-building-nice-apartment/7562113273.html?lang=en&cc=us
115,Nov 28,₫550,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-orient-building/7562113220.html?lang=en&cc=us
116,Nov 25,₫600,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-dpn-tower-3br/7561096364.html?lang=en&cc=us
117,Nov 25,₫550,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-central-garden/7561093727.html?lang=en&cc=us
118,Nov 25,₫550,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-orient-building/7561092248.html?lang=en&cc=us
119,Nov 25,₫600,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-saigon-land/7561090193.html?lang=en&cc=us
